id	parent	name
1	None	BASE
trm_4a3fd79d096be	trm_4a3fd79d0aec1	abductive reasoning
trm_4a3fd79d096e3	trm_4a3fd79d09827	abstract analogy
trm_4a3fd79d096f0	trm_4a3fd79d0a746	abstract knowledge
trm_4a3fd79d096fc	1	acoustic coding
trm_4a3fd79d09707	trm_4a3fd79d0b8e5	acoustic encoding
trm_4a3fd79d09707	trm_4a3fd79d0b8e5	acoustic encoding
trm_4a3fd79d09713	trm_4a3fd79d09ab2	acoustic phonetic processing
trm_4a3fd79d0971e	1	acoustic processing
trm_4a3fd79d09735	1	action
trm_4a3fd79d0b5c0	1	action initiation
trm_5159c00c3dac3	1	action perception
trm_4a3fd79d09741	1	activation
trm_4a3fd79d0974d	1	activation level
trm_4a3fd79d0ba0d	trm_55b6b9d7c9435	active maintenance
trm_4a3fd79d0b8b5	1	active recall
trm_4a3fd79d0b8c1	1	active retrieval
trm_4a3fd79d0b98a	1	acuity
trm_4a3fd79d09758	1	adaptation
trm_4a3fd79d09764	1	adaptive control
trm_4fafd1626bf2b	1	addiction
trm_4a3fd79d09770	1	affect perception
trm_4a3fd79d0977b	1	affect recognition
trm_5154b2f947fe9	1	agency
trm_523f5ee64102c	1	agreeableness
trm_4a3fd79d097b4	1	altruism
trm_4a3fd79d097bf	1	altruistic motivation
trm_4a3fd79d097cb	1	alveolar
trm_4a3fd79d097d6	trm_4a3fd79d0a908	amodal representation
trm_4a3fd79d097d6	trm_4a3fd79d0a908	amodal representation
trm_4a3fd79d097e2	1	analog representation
trm_4a3fd79d097ed	trm_4a3fd79d0b8e5	analogical encoding
trm_4a3fd79d097ed	trm_4a3fd79d09810	analogical encoding
trm_4a3fd79d097f9	trm_4a3fd79d0a5ed	analogical inference
trm_4a3fd79d09804	1	analogical problem solving
trm_4a3fd79d09810	trm_4a3fd79d0aec1	analogical reasoning
trm_4a3fd79d0981b	1	analogical transfer
trm_4a3fd79d09827	trm_4a3fd79d0a5ed	analogy
trm_4a3fd79d09833	trm_4a3fd79d09d58	anchoring
trm_52583dceb345e	1	anhedonia
trm_557b471bc6cd8	trm_4a3fd79d0a038	animacy decision
trm_5159beaf80413	trm_4a3fd79d0b392	animacy perception
trm_5159beaf80413	trm_4a3fd79d0ab7c	animacy perception
trm_4a3fd79d09849	1	anticipation
trm_523e024c14df9	1	antisocial personality
trm_5022ef7599294	trm_4a3fd79d0a17f	anxiety
trm_4a3fd79d09855	trm_4a3fd79d0b4b5	apparent motion
trm_4a3fd79d09855	trm_4fb2c38960950	apparent motion
trm_4a3fd79d0986c	1	apperception
trm_52583e083c9ab	1	appetite
trm_4a3fd79d09877	1	appetitive motivation
trm_558c7ae1eaf86	1	arithmetic processing
trm_4a3fd79d09883	1	arousal
trm_4a3fd79d0988f	1	articulation
trm_4a3fd79d0ba19	trm_4a3fd79d0ba60	articulatory loop
trm_4a3fd79d0989a	1	articulatory planning
trm_4a3fd79d098a6	trm_4a3fd79d0ba54	articulatory rehearsal
trm_4a3fd79d098b2	trm_4a3fd79d0a275	assimilation
trm_4a3fd79d098bd	1	association
trm_4a3fd79d098c9	trm_565bce2791089	association learning
trm_5521a5f310604	trm_4e89aebaa311d	associative priming
trm_4a3fd79d098e0	1	attachment
trm_4a3fd79d098eb	1	attended channel
trm_4a3fd79d098f7	1	attended stimulus
trm_4a3fd79d09902	1	attention
trm_4a3fd79d0990e	1	attention capacity
trm_4a3fd79d0b5d7	1	attention shift
trm_4a3fd79d0b5fb	1	attention shifting
trm_4a3fd79d0b5e3	1	attention span
trm_510059e54b2cf	1	attentional bias
trm_4fea1aeaa7b17	1	attentional blink
trm_4a3fd79d09919	trm_4a3fd79d0a151	attentional effort
trm_4a3fd79d0b5ef	1	attentional focusing
trm_4a3fd79d09925	trm_4f3a72a028d90	attentional resources
trm_4a3fd79d09930	1	attentional state
trm_4a3fd79d09947	1	attitude
trm_4a3fd79d09953	trm_4a3fd79d0ab7c	audiovisual perception
trm_4a3fd79d0995e	1	audition
trm_55b6b8e291dba	trm_558c7ae1eaf86	auditory arithmetic processing
trm_4a3fd79d09a10	trm_4a3fd79d09902	auditory attention
trm_4a3fd79d09a3d	trm_4a3fd79d0b8e5	auditory coding
trm_4a3fd79d09a49	trm_4a3fd79d0b8e5	auditory encoding
